comandoerr,comando
cajmbiar nombre,cambiar nombre
modifica contenido,modificar contenido
xeit,exit
cerrr sesion,cerrar sesion
cfear,clear
mkdih,mkdir
mkifle,mkfile
c,cd
ns,ls
pd,pwd
descagar,descargar
suibr,subir
cmbiar nombre,cambiar nombre
modifdcar contenido,modificar contenido
exitt,exit
cerrar ession,cerrar sesion
clearu,clear
mkdixr,mkdir
mkfike,mkfile
ed,cd
lws,ls
pdw,pwd
descarga,descargar
subi,subir
cambiar nombrey,cambiar nombre
modifica rcontenido,modificar contenido
exi,exit
cerrar sesino,cerrar sesion
lcear,clear
mkir,mkdir
mkfilel,mkfile
c,cd
sl,ls
wpd,pwd
descmargar,descargar
subire,subir
cambiar nombrl,cambiar nombre
modificar conteniod,modificar contenido
xit,exit
ceprar sesion,cerrar sesion
clhear,clear
mkdkr,mkdir
mktfile,mkfile
cf,cd
lsj,ls
pdw,pwd
descargamr,descargar
sbir,subir
cambiard nombre,cambiar nombre
modificar conteindo,modificar contenido
exvit,exit
cerrar seion,cerrar sesion
claar,clear
kmdir,mkdir
mfkile,mkfile
cdk,cd
sl,ls
pd,pwd
desacrgar,descargar
sbuir,subir
cambiar npombre,cambiar nombre
modificar conetnido,modificar contenido
eixt,exit
cerraor sesion,cerrar sesion
cleur,clear
mdkir,mkdir
mkfiel,mkfile
wd,cd
lrs,ls
wpd,pwd
descragar,descargar
subivr,subir
cambiar nyombre,cambiar nombre
modifiaar contenido,modificar contenido
exiet,exit
cerra rsesion,cerrar sesion
clealr,clear
nkdir,mkdir
mkfil,mkfile
dc,cd
l,ls
wpd,pwd
ydescargar,descargar
sxubir,subir
acmbiar nombre,cambiar nombre
modificar xontenido,modificar contenido
exbt,exit
crrar sesion,cerrar sesion
cliear,clear
mdir,mkdir
mfkile,mkfile
zcd,cd
sl,ls
wpd,pwd
descarga,descargar
jsubir,subir
cambiarn ombre,cambiar nombre
modisficar contenido,modificar contenido
exti,exit
cerrar sesio,cerrar sesion
clhar,clear
mdkir,mkdir
mfkile,mkfile
dc,cd
sl,ls
pdw,pwd
descargarw,descargar
ubir,subir
cambiar nmobre,cambiar nombre
movdificar contenido,modificar contenido
exi,exit
cerra sesion,cerrar sesion
clearc,clear
mudir,mkdir
kfile,mkfile
dc,cd
vs,ls
pw,pwd
desoargar,descargar
subirw,subir
cambiar nombsre,cambiar nombre
modfiicar contenido,modificar contenido
rexit,exit
cerrarsesion,cerrar sesion
csear,clear
mkir,mkdir
mkile,mkfile
dc,cd
lg,ls
pwi,pwd
desacrgar,descargar
lsubir,subir
cambiatr nombre,cambiar nombre
modiifcar contenido,modificar contenido
xxit,exit
cerrar gesion,cerrar sesion
celar,clear
mkjir,mkdir
kmfile,mkfile
dc,cd
uls,ls
pdw,pwd
diescargar,descargar
cubir,subir
cambiar nombe,cambiar nombre
modifica rcontenido,modificar contenido
eit,exit
cerrar sesin,cerrar sesion
clar,clear
mkidr,mkdir
ukfile,mkfile
ed,cd
s,ls
pwz,pwd
descargarm,descargar
sbir,subir
cambiarj nombre,cambiar nombre
moidficar contenido,modificar contenido
ext,exit
errar sesion,cerrar sesion
cleajr,clear
mkddr,mkdir
mfkile,mkfile
cld,cd
lt,ls
pdw,pwd
escargar,descargar
suir,subir
cambiar nombgre,cambiar nombre
modificar acontenido,modificar contenido
xeit,exit
cerlrar sesion,cerrar sesion
cler,clear
mvdir,mkdir
mkfill,mkfile
cr,cd
bs,ls
pywd,pwd
dscargar,descargar
sbir,subir
vcambiar nombre,cambiar nombre
omdificar contenido,modificar contenido
bexit,exit
cerrar sesiont,cerrar sesion
celar,clear
mkldir,mkdir
imkfile,mkfile
d,cd
l,ls
wpd,pwd
hescargar,descargar
usbir,subir
cambia rnombre,cambiar nombre
momdificar contenido,modificar contenido
extt,exit
cerrar sesiont,cerrar sesion
cyear,clear
mkdri,mkdir
mkfie,mkfile
dc,cd
s,ls
pwl,pwd
descragar,descargar
subire,subir
cambiar nobmre,cambiar nombre
modificar contneido,modificar contenido
eiit,exit
cerrarhsesion,cerrar sesion
cclear,clear
mkdier,mkdir
mklfile,mkfile
dc,cd
l,ls
pdw,pwd
cescargar,descargar
ubir,subir
cambar nombre,cambiar nombre
odificar contenido,modificar contenido
xit,exit
cerrar sision,cerrar sesion
celar,clear
mdir,mkdir
mkfilee,mkfile
d,cd
l,ls
wpd,pwd
dscargar,descargar
suiir,subir
cambiar eombre,cambiar nombre
modificar contenidko,modificar contenido
efxit,exit
cerrar sesiorn,cerrar sesion
sclear,clear
mdir,mkdir
mkfiel,mkfile
d,cd
lts,ls
wpd,pwd
destargar,descargar
surbir,subir
cambiaf nombre,cambiar nombre
modificar conntenido,modificar contenido
exnit,exit
cerrar seison,cerrar sesion
cleqr,clear
gkdir,mkdir
kmfile,mkfile
cdo,cd
l,ls
pwdw,pwd
descardgar,descargar
suibr,subir
ycambiar nombre,cambiar nombre
modificar contendio,modificar contenido
exi,exit
cerra rsesion,cerrar sesion
cflear,clear
mdkir,mkdir
mkfil,mkfile
cda,cd
lvs,ls
pwx,pwd
descargra,descargar
suybir,subir
cabiar nombre,cambiar nombre
modfiicar contenido,modificar contenido
sxit,exit
serrar sesion,cerrar sesion
celar,clear
mkdr,mkdir
mkfiel,mkfile
jd,cd
l,ls
pw,pwd
descargr,descargar
suibr,subir
cambiar nombe,cambiar nombre
moldificar contenido,modificar contenido
xit,exit
cerrar msesion,cerrar sesion
celar,clear
mkir,mkdir
mkfilme,mkfile
dc,cd
sl,ls
wd,pwd
descargaor,descargar
dsubir,subir
bambiar nombre,cambiar nombre
modifqicar contenido,modificar contenido
ext,exit
errar sesion,cerrar sesion
cler,clear
qkdir,mkdir
mkfle,mkfile
ecd,cd
lvs,ls
wd,pwd
descargra,descargar
sucir,subir
aambiar nombre,cambiar nombre
modificar contenibdo,modificar contenido
xeit,exit
cerrar sseion,cerrar sesion
clearv,clear
mkidr,mkdir
mkfie,mkfile
dc,cd
l,ls
pzd,pwd
yescargar,descargar
soubir,subir
cambir nombre,cambiar nombre
modiftcar contenido,modificar contenido
eit,exit
ecrrar sesion,cerrar sesion
cleat,clear
mvkdir,mkdir
mfkile,mkfile
cdn,cd
lsn,ls
pdw,pwd
desacrgar,descargar
suibr,subir
cdmbiar nombre,cambiar nombre
modifciar contenido,modificar contenido
exct,exit
cerrar sesino,cerrar sesion
blear,clear
mkdip,mkdir
mksfile,mkfile
dc,cd
bls,ls
ppd,pwd
edscargar,descargar
subid,subir
cabmiar nombre,cambiar nombre
mdoificar contenido,modificar contenido
kxit,exit
cerrwr sesion,cerrar sesion
lcear,clear
ymkdir,mkdir
mkfiue,mkfile
chd,cd
sl,ls
pwv,pwd
descargra,descargar
subi,subir
cambiar nombcre,cambiar nombre
modificarc ontenido,modificar contenido
exjit,exit
pcerrar sesion,cerrar sesion
clera,clear
dmkdir,mkdir
mkifle,mkfile
chd,cd
sl,ls
pw,pwd
descartar,descargar
sbuir,subir
cambiar nomrbe,cambiar nombre
modificar conteindo,modificar contenido
eit,exit
cerrar seion,cerrar sesion
cleer,clear
mkdil,mkdir
mkfidle,mkfile
d,cd
sl,ls
pdw,pwd
desgargar,descargar
vsubir,subir
yambiar nombre,cambiar nombre
modificar contenidou,modificar contenido
eit,exit
cerrars esion,cerrar sesion
clsar,clear
kmdir,mkdir
ymkfile,mkfile
zcd,cd
sl,ls
pwdd,pwd
descargara,descargar
subsr,subir
cambiar nomre,cambiar nombre
mdoificar contenido,modificar contenido
ext,exit
cerrars esion,cerrar sesion
clgear,clear
xkdir,mkdir
mkflie,mkfile
cdl,cd
lvs,ls
wd,pwd
dsecargar,descargar
usbir,subir
cambiar nombbre,cambiar nombre
modificar conteindo,modificar contenido
exbt,exit
cerrar session,cerrar sesion
cleae,clear
mkcir,mkdir
mkfixe,mkfile
cmd,cd
s,ls
pgd,pwd
dcscargar,descargar
sxubir,subir
cambiar nmobre,cambiar nombre
msdificar contenido,modificar contenido
exi,exit
cerrar sesoin,cerrar sesion
claer,clear
kdir,mkdir
mmfile,mkfile
d,cd
s,ls
pwxd,pwd
descarrgar,descargar
sbir,subir
cmmbiar nombre,cambiar nombre
mdificar contenido,modificar contenido
exitb,exit
errar sesion,cerrar sesion
clekr,clear
mxkdir,mkdir
mkifle,mkfile
c,cd
lls,ls
pdw,pwd
descarar,descargar
usbir,subir
caembiar nombre,cambiar nombre
modificar conetnido,modificar contenido
exim,exit
cerrar sesino,cerrar sesion
claer,clear
mkdirf,mkdir
mkfive,mkfile
cnd,cd
s,ls
pnd,pwd
decargar,descargar
subi,subir
camiar nombre,cambiar nombre
modmificar contenido,modificar contenido
exnt,exit
cerrar sesirn,cerrar sesion
clnar,clear
mkdibr,mkdir
kfile,mkfile
cdg,cd
lo,ls
pdw,pwd
descargrar,descargar
pubir,subir
cambiar onmbre,cambiar nombre
modifiacr contenido,modificar contenido
xit,exit
cerrar sesioxn,cerrar sesion
cear,clear
mkdicr,mkdir
kfile,mkfile
ca,cd
sl,ls
pww,pwd
descagrar,descargar
suibr,subir
cambiar nmobre,cambiar nombre
moodificar contenido,modificar contenido
xit,exit
cerar sesion,cerrar sesion
clerr,clear
rkdir,mkdir
mkflie,mkfile
cdn,cd
ly,ls
wpd,pwd
descargarm,descargar
sbir,subir
cambiar nombpe,cambiar nombre
mmdificar contenido,modificar contenido
jxit,exit
cerrarg sesion,cerrar sesion
clyar,clear
mkdix,mkdir
mkbfile,mkfile
ce,cd
sl,ls
wd,pwd
dsecargar,descargar
sufbir,subir
cambiar nomqbre,cambiar nombre
modbificar contenido,modificar contenido
exig,exit
cdrrar sesion,cerrar sesion
jclear,clear
modir,mkdir
mkcile,mkfile
cdo,cd
ld,ls
pwz,pwd
descargard,descargar
suir,subir
cambinr nombre,cambiar nombre
modificar conteindo,modificar contenido
exiz,exit
cerrarp sesion,cerrar sesion
clefar,clear
mdir,mkdir
mmkfile,mkfile
hcd,cd
sl,ls
fpwd,pwd
dscargar,descargar
ubir,subir
cambiar nombe,cambiar nombre
mdificar contenido,modificar contenido
eit,exit
cerrar seson,cerrar sesion
cuear,clear
mmkdir,mkdir
mgkfile,mkfile
c,cd
ds,ls
pd,pwd
desacrgar,descargar
gubir,subir
cambiar nobmre,cambiar nombre
mofificar contenido,modificar contenido
eixt,exit
cerrar sesijon,cerrar sesion
lear,clear
mkkdir,mkdir
mkfaile,mkfile
acd,cd
gs,ls
pfd,pwd
descgargar,descargar
subgir,subir
cambiar nbmbre,cambiar nombre
omdificar contenido,modificar contenido
exi,exit
cerrar sseion,cerrar sesion
cleir,clear
mkdiq,mkdir
mkfilje,mkfile
dc,cd
ly,ls
wd,pwd
descacgar,descargar
subigr,subir
cambiar nomrbe,cambiar nombre
moificar contenido,modificar contenido
ext,exit
hcerrar sesion,cerrar sesion
cler,clear
mkidr,mkdir
mfkile,mkfile
id,cd
l,ls
pod,pwd
descrgar,descargar
suibr,subir
cambiar nozmbre,cambiar nombre
modificarc ontenido,modificar contenido
expt,exit
cerrar bsesion,cerrar sesion
cwear,clear
mkidr,mkdir
mkfvle,mkfile
c,cd
sl,ls
pdd,pwd
descagar,descargar
suibr,subir
cmabiar nombre,cambiar nombre
modificar cntenido,modificar contenido
exti,exit
cerrar sesionq,cerrar sesion
clelar,clear
mkdvir,mkdir
kfile,mkfile
dc,cd
lqs,ls
twd,pwd
descarga,descargar
dubir,subir
cambiar nombr,cambiar nombre
modificar gontenido,modificar contenido
exwit,exit
cerra sesion,cerrar sesion
cdlear,clear
mkdirx,mkdir
mkfle,mkfile
hd,cd
lv,ls
pwc,pwd
desargar,descargar
subi,subir
cambiaz nombre,cambiar nombre
modificarc ontenido,modificar contenido
exti,exit
cerrar sesio,cerrar sesion
clyar,clear
mkdi,mkdir
mkfilg,mkfile
cg,cd
lx,ls
lpwd,pwd
descardgar,descargar
szbir,subir
cambiar nomre,cambiar nombre
modificar conteido,modificar contenido
bexit,exit
cerrar seseon,cerrar sesion
cmear,clear
mkditr,mkdir
mkfqle,mkfile
cj,cd
s,ls
pwed,pwd
oescargar,descargar
smbir,subir
cambiar nombrse,cambiar nombre
modificar contenidog,modificar contenido
exxit,exit
rcerrar sesion,cerrar sesion
crlear,clear
kmdir,mkdir
mkfils,mkfile
dc,cd
sl,ls
pwy,pwd
descagar,descargar
usbir,subir
cabmiar nombre,cambiar nombre
mdificar contenido,modificar contenido
exitb,exit
errar sesion,cerrar sesion
claer,clear
mkir,mkdir
mkifle,mkfile
cs,cd
sl,ls
wpd,pwd
decargar,descargar
oubir,subir
cambiar nomrbe,cambiar nombre
modiwficar contenido,modificar contenido
exti,exit
cerrar sesionx,cerrar sesion
lear,clear
mkfir,mkdir
mwfile,mkfile
c,cd
s,ls
zwd,pwd
descafrgar,descargar
subri,subir
camkiar nombre,cambiar nombre
modificar conkenido,modificar contenido
eit,exit
cxrrar sesion,cerrar sesion
cleafr,clear
jmkdir,mkdir
mkile,mkfile
dc,cd
ys,ls
pw,pwd
decsargar,descargar
ubir,subir
rambiar nombre,cambiar nombre
modificar cotnenido,modificar contenido
eixt,exit
cerrar sesoin,cerrar sesion
clea,clear
mmkdir,mkdir
mkifle,mkfile
ld,cd
ss,ls
pwmd,pwd
dscargar,descargar
subimr,subir
camibar nombre,cambiar nombre
modificar contenio,modificar contenido
exis,exit
cerrgr sesion,cerrar sesion
celar,clear
mhdir,mkdir
mkfble,mkfile
ccd,cd
als,ls
ptd,pwd
escargar,descargar
suxir,subir
cambicar nombre,cambiar nombre
modificar contnido,modificar contenido
xit,exit
cerrar sesikn,cerrar sesion
olear,clear
mkdyir,mkdir
mfkile,mkfile
dc,cd
s,ls
pwdy,pwd
descargaf,descargar
usubir,subir
cambiar nmobre,cambiar nombre
modifciar contenido,modificar contenido
exiw,exit
cergrar sesion,cerrar sesion
lcear,clear
mkldir,mkdir
mefile,mkfile
c,cd
s,ls
wd,pwd
descargr,descargar
subr,subir
cambiar nmbre,cambiar nombre
modificar contenixo,modificar contenido
exmit,exit
cerrar sesiong,cerrar sesion
claer,clear
mdkir,mkdir
mkfirle,mkfile
dc,cd
lzs,ls
pws,pwd
descargra,descargar
sbuir,subir
cambiar enombre,cambiar nombre
modifvcar contenido,modificar contenido
egit,exit
cerrur sesion,cerrar sesion
clar,clear
mkdsir,mkdir
dmkfile,mkfile
cid,cd
fls,ls
pwdm,pwd
descayrgar,descargar
sueir,subir
cambiar nomber,cambiar nombre
modificar contnido,modificar contenido
eyit,exit
cerrar sesiom,cerrar sesion
clpear,clear
mkidr,mkdir
mkfiel,mkfile
od,cd
lsh,ls
pw,pwd
descargarr,descargar
sfbir,subir
cambiar jombre,cambiar nombre
moidficar contenido,modificar contenido
xit,exit
errar sesion,cerrar sesion
cgear,clear
mklir,mkdir
mkkile,mkfile
c,cd
sl,ls
pd,pwd
desargar,descargar
ubir,subir
cambiaru nombre,cambiar nombre
modoificar contenido,modificar contenido
exkt,exit
cerrar esion,cerrar sesion
cear,clear
mkdri,mkdir
mkafile,mkfile
dc,cd
gs,ls
rwd,pwd
descpargar,descargar
ubir,subir
cambiar nombr,cambiar nombre
modificar contonido,modificar contenido
exmt,exit
cerrarsesion,cerrar sesion
clera,clear
mkdifr,mkdir
kmfile,mkfile
dc,cd
l,ls
wpd,pwd
descargalr,descargar
subr,subir
cambiarnombre,cambiar nombre
movdificar contenido,modificar contenido
eqxit,exit
crerar sesion,cerrar sesion
clera,clear
mtdir,mkdir
mkfil,mkfile
cdr,cd
hls,ls
wpd,pwd
dwescargar,descargar
sbuir,subir
clambiar nombre,cambiar nombre
modificar comtenido,modificar contenido
elit,exit
cerrar sesiovn,cerrar sesion
lcear,clear
mkdi,mkdir
mkfsile,mkfile
nd,cd
lts,ls
pwmd,pwd
rdescargar,descargar
ssubir,subir
ambiar nombre,cambiar nombre
modificar cotenido,modificar contenido
eixt,exit
cerrara sesion,cerrar sesion
cleasr,clear
fkdir,mkdir
mkbile,mkfile
c,cd
s,ls
pwdm,pwd
descargaru,descargar
bubir,subir
cambia rnombre,cambiar nombre
modificar cnotenido,modificar contenido
exti,exit
cerrar sseion,cerrar sesion
lear,clear
mksdir,mkdir
mkfoile,mkfile
c,cd
ds,ls
pdw,pwd
desbargar,descargar
smbir,subir
cambiar nzombre,cambiar nombre
modivicar contenido,modificar contenido
exict,exit
cerarr sesion,cerrar sesion
clera,clear
mkdira,mkdir
mkfiel,mkfile
c,cd
li,ls
pwdu,pwd
derscargar,descargar
subri,subir
cambair nombre,cambiar nombre
modificar conienido,modificar contenido
exint,exit
cerrarusesion,cerrar sesion
lcear,clear
mkidr,mkdir
mkflie,mkfile
cdr,cd
lsy,ls
pdw,pwd
escargar,descargar
subi,subir
cambiar nomebre,cambiar nombre
modificar conteniod,modificar contenido
exitw,exit
cerrar gesion,cerrar sesion
cler,clear
mkir,mkdir
mkflie,mkfile
vcd,cd
sl,ls
pw,pwd
descagar,descargar
subri,subir
cabmiar nombre,cambiar nombre
modificar contenidh,modificar contenido
eit,exit
cerrar seson,cerrar sesion
culear,clear
mkidr,mkdir
mkfilbe,mkfile
jcd,cd
hs,ls
dwd,pwd
descnrgar,descargar
suboir,subir
cambia rnombre,cambiar nombre
modificar contendio,modificar contenido
exitj,exit
cverrar sesion,cerrar sesion
cleqar,clear
mwkdir,mkdir
wmkfile,mkfile
dc,cd
zls,ls
pwdr,pwd
descargra,descargar
subgr,subir
cambia nombre,cambiar nombre
modificar contenio,modificar contenido
xit,exit
cerrar sesyon,cerrar sesion
cleav,clear
kmdir,mkdir
mkifle,mkfile
ch,cd
lse,ls
wpd,pwd
descargpr,descargar
kubir,subir
cambiarn ombre,cambiar nombre
modificar contefido,modificar contenido
eximt,exit
cerrar seion,cerrar sesion
cbear,clear
mdkir,mkdir
kfile,mkfile
dc,cd
ols,ls
wpwd,pwd
drscargar,descargar
subivr,subir
cambiar nomboe,cambiar nombre
modificar contenmdo,modificar contenido
exti,exit
cerrar sesioan,cerrar sesion
clead,clear
vkdir,mkdir
kmfile,mkfile
fcd,cd
sl,ls
pws,pwd
descaorgar,descargar
suir,subir
cabiar nombre,cambiar nombre
odificar contenido,modificar contenido
exjt,exit
cerrar uesion,cerrar sesion
clebr,clear
mkkdir,mkdir
mkfilet,mkfile
gd,cd
sl,ls
pswd,pwd
dlescargar,descargar
subkir,subir
cambiar nohbre,cambiar nombre
modifica contenido,modificar contenido
rxit,exit
cerrr sesion,cerrar sesion
clerr,clear
mkgdir,mkdir
mkofile,mkfile
wcd,cd
dls,ls
mpwd,pwd
descarar,descargar
subbir,subir
cambar nombre,cambiar nombre
modificarmcontenido,modificar contenido
exi,exit
cerrar segsion,cerrar sesion
celar,clear
kmdir,mkdir
hmkfile,mkfile
dc,cd
sl,ls
pdw,pwd
dcscargar,descargar
subicr,subir
cambiarnombre,cambiar nombre
modifciar contenido,modificar contenido
eit,exit
cerarr sesion,cerrar sesion
cear,clear
mkidr,mkdir
bkfile,mkfile
c,cd
lu,ls
pdw,pwd
zescargar,descargar
sbuir,subir
cmbiar nombre,cambiar nombre
modificpar contenido,modificar contenido
exi,exit
cerrars esion,cerrar sesion
cnlear,clear
mkkdir,mkdir
mkflie,mkfile
scd,cd
lg,ls
pwdj,pwd
dbscargar,descargar
suir,subir
cambiar lnombre,cambiar nombre
modificar countenido,modificar contenido
eaxit,exit
cerraru sesion,cerrar sesion
clera,clear
mkdsir,mkdir
mkfil,mkfile
dc,cd
s,ls
nwd,pwd
descagar,descargar
shbir,subir
gambiar nombre,cambiar nombre
modificar conetnido,modificar contenido
eit,exit
cerrar sesio,cerrar sesion
clekr,clear
mkidr,mkdir
mkfie,mkfile
co,cd
xls,ls
pwdc,pwd
xdescargar,descargar
subtr,subir
ambiar nombre,cambiar nombre
modificar conteniido,modificar contenido
exim,exit
cerrar sesiwon,cerrar sesion
qlear,clear
kmdir,mkdir
mkile,mkfile
cr,cd
sl,ls
wpd,pwd
escargar,descargar
sbir,subir
cambxiar nombre,cambiar nombre
mudificar contenido,modificar contenido
exi,exit
cerrar sesizn,cerrar sesion
cledr,clear
mcdir,mkdir
kmkfile,mkfile
cda,cd
wls,ls
wpd,pwd
desargar,descargar
subr,subir
cambuiar nombre,cambiar nombre
modificxar contenido,modificar contenido
sxit,exit
cecrrar sesion,cerrar sesion
cylear,clear
mzdir,mkdir
mkfilne,mkfile
bcd,cd
lsv,ls
pdw,pwd
descargr,descargar
suibr,subir
cambair nombre,cambiar nombre
modificyr contenido,modificar contenido
exi,exit
cerrar skesion,cerrar sesion
claer,clear
mdkir,mkdir
imkfile,mkfile
c,cd
lys,ls
pwfd,pwd
bescargar,descargar
sbir,subir
cambiar nobre,cambiar nombre
modifciar contenido,modificar contenido
eixt,exit
cerrar desion,cerrar sesion
clearr,clear
kmdir,mkdir
wmkfile,mkfile
cw,cd
tls,ls
wd,pwd
defscargar,descargar
subirh,subir
cambriar nombre,cambiar nombre
modificar cootenido,modificar contenido
ejit,exit
cerrars esion,cerrar sesion
cleyr,clear
mkdirf,mkdir
mkfilee,mkfile
c,cd
ils,ls
pdw,pwd
dkescargar,descargar
subiur,subir
cambiar nombrp,cambiar nombre
modificrr contenido,modificar contenido
exti,exit
cerrar sesiob,cerrar sesion
clea,clear
mkcir,mkdir
mkfle,mkfile
dc,cd
sl,ls
pww,pwd
descarrgar,descargar
sbir,subir
cambiar nomrbe,cambiar nombre
modificar contenivdo,modificar contenido
txit,exit
cerrar slsion,cerrar sesion
lcear,clear
mdkir,mkdir
mfkile,mkfile
c,cd
s,ls
hpwd,pwd
delcargar,descargar
sqbir,subir
cambiar nomxbre,cambiar nombre
modificar conenido,modificar contenido
qxit,exit
cerrar sesionn,cerrar sesion
xlear,clear
mkir,mkdir
mkifle,mkfile
dc,cd
als,ls
pwhd,pwd
descargmr,descargar
subr,subir
cambiar nombrv,cambiar nombre
modificra contenido,modificar contenido
xeit,exit
cerrar esion,cerrar sesion
clera,clear
mkair,mkdir
mgkfile,mkfile
vcd,cd
li,ls
bpwd,pwd
edscargar,descargar
subxir,subir
cambar nombre,cambiar nombre
modifica rcontenido,modificar contenido
aexit,exit
cerrar sesiogn,cerrar sesion
clegar,clear
mkdri,mkdir
kfile,mkfile
d,cd
sl,ls
pw,pwd
descrgar,descargar
pubir,subir
cambiar nombke,cambiar nombre
modificar contendio,modificar contenido
oxit,exit
cerdrar sesion,cerrar sesion
cleir,clear
nmkdir,mkdir
kmkfile,mkfile
c,cd
sl,ls
pw,pwd
descagar,descargar
subr,subir
cambbiar nombre,cambiar nombre
